,Company,Moody's Rating,Watch,Type,Effective Date,my_type,delta
0,21st Century Fox America,Baa3,-,down,2005-01-25,same,9.008219178082193
1,21st Century Fox America,Baa3,+,up,2005-09-22,same,7.890410958904109
2,21st Century Fox America,Baa2,,up,2005-11-21,up,1.9726027397260273
3,21st Century Fox America,Baa2,+,up,2008-04-16,same,28.83287671232877
4,21st Century Fox America,Baa1,,up,2008-06-11,up,1.841095890410959
5,21st Century Fox America,Baa1,-,down,2016-12-12,same,102.11506849315069
6,21st Century Fox America,Baa1,,up,2016-12-15,same,0.09863013698630135
7,21st Century Fox America,Baa1,+,up,2017-12-14,same,11.967123287671233
8,AT&T Corp,A1,,down,1999-02-09,down,105.66575342465752
9,AT&T Corp,A1,-,down,2000-10-25,same,20.515068493150686
10,AT&T Corp,A2,-,down,2000-11-15,down,0.6904109589041096
11,AT&T Corp,A3,-,down,2001-10-25,down,11.30958904109589
12,AT&T Corp,Baa2,,down,2002-05-29,down,7.101369863013699
13,AT&T Corp,Baa2,-,down,2004-06-28,same,25.01917808219178
14,AT&T Corp,Ba1,,down,2004-07-29,down,1.0191780821917809
15,AT&T Corp,Ba1,+,up,2005-01-31,same,6.115068493150686
16,AT&T Corp,Baa2,,up,2005-11-18,up,9.567123287671233
17,AT&T Corp,A2,,up,2005-12-19,up,1.0191780821917809
18,AT&T Corp,A2,-,down,2006-03-06,same,2.5315068493150683
19,AT&T Corp,A2,,up,2006-07-27,same,4.701369863013698
20,AT&T Corp,A2,-,down,2011-03-21,same,55.82465753424657
21,AT&T Corp,A2,,up,2011-12-20,same,9.008219178082193
22,AT&T Corp,A2,-,down,2012-11-08,same,10.652054794520549
23,AT&T Corp,A3,,down,2013-01-29,down,2.695890410958904
24,AT&T Corp,A3,-,down,2014-05-19,same,15.616438356164384
25,AT&T Corp,Baa1,,down,2015-02-02,down,8.515068493150684
26,AT&T Corp,Baa1,-,down,2016-10-24,same,20.71232876712329
27,AT&T Corp,Baa2,,down,2018-06-15,down,19.693150684931506
29,CBS Corp,Ba2,,up,1995-04-06,up,9.928767123287672
30,CBS Corp,Baa3,,up,1998-10-13,up,42.27945205479452
31,CBS Corp,Baa3,+,up,1999-09-07,same,10.816438356164383
32,CBS Corp,Baa1,,up,2000-05-24,up,8.54794520547945
33,CBS Corp,Baa1,+,up,2000-08-16,same,2.7616438356164386
34,CBS Corp,A3,,up,2000-11-16,up,3.0246575342465754
35,CBS Corp,A3,-,down,2005-01-12,same,49.906849315068484
36,CBS Corp,Baa3,,down,2005-10-06,down,8.778082191780822
37,CBS Corp,Baa3,+,up,2011-08-17,same,70.38904109589042
38,CBS Corp,Baa2,,up,2011-08-22,up,0.1643835616438356
39,Comcast Corp,Baa3,,up,2003-01-14,up,3.484931506849315
40,Comcast Corp,Baa3,+,up,2004-02-11,same,12.920547945205477
41,Comcast Corp,Baa3,,down,2004-04-28,same,2.5315068493150683
42,Comcast Corp,Baa2,,up,2005-04-21,up,11.769863013698629
43,Comcast Corp,Baa2,+,up,2009-02-09,same,45.6986301369863
44,Comcast Corp,Baa1,,up,2009-04-24,up,2.432876712328767
45,Comcast Corp,A3,,up,2013-02-13,up,45.73150684931507
46,Comcast Corp,A3,-,down,2018-05-23,same,63.28767123287672
47,Comcast Corp,A3,,up,2018-09-24,same,4.076712328767123
48,Verizon Communications Inc,A1,-,down,1998-07-28,same,79.56164383561644
49,Verizon Communications Inc,A3,,up,2006-02-03,up,73.15068493150685
50,Verizon Communications Inc,A3,-,down,2008-06-06,same,28.076712328767123
51,Verizon Communications Inc,A3,,up,2008-10-29,same,4.767123287671232
52,Verizon Communications Inc,Baa1,,down,2013-09-02,down,58.15890410958904
